ITEM_CODE,STD_DEV,COEF_VAR,N_FOR_CONF
105-06845,0.0,0.0,1
110-01001,0.0,0.0,1
201-52370,9012.640291225962,0.5309482542476928,57
203-02000,44.05337144998658,0.5244970869789995,67
203-02070,25.247794557031206,0.5790297722459816,58
205-11626,13699.830746361118,0.7312797678332779,74
205-12108,0.0,0.0,61
205-12616,6268.391276290734,0.6736194093941197,56
207-08264,31.678336960813535,0.6695601947024726,51
207-09935,14.961095489301577,0.2739505220298243,75
211-09265,58.8704143330634,0.5152484505845686,33
211-09268,56.04848540766339,0.24550858806552206,48
214-12239,2.2289971995396396,0.2999404154684099,75
301-12233,42.75770493891454,0.35450585085106356,47
301-12234,63.91459367271564,0.4349806998095194,71
303-01180,106.18669463261394,0.7280491366710817,50
303-08210,0.0,,0
306-08034,4.222084501689648,0.384353407682866,51
306-08432,9.883412163822776,0.6355074693816086,10
401-000002,59.56692376470185,0.26736667668701075,62
401-000038,67.46388399510121,0.3165472810565001,31
401-000047,38.658190532383884,0.24065108648147335,42
401-11526,0.0,,0
406-05521,0.30766391509842267,0.5882914568602874,94
606-12400,7.216153113649764,0.9133269972676291,21
610-07487,144.73439630914353,0.4340901084541783,60
615-06505,313.1988132529945,0.2525506547576243,98
616-05688,48.57060042722593,0.3888061585319138,79
616-12248,4.232311897769351,0.47293685303043365,40
616-12249,2.3820919293504486,0.3722826544676195,36
621-01004,592.055505541691,0.7663264004675792,126
621-06559,2.615068256381816,0.6998878808598051,78
621-06574,28.181830142458082,0.47121643582543976,58
714-000087,3.8516951535078108,0.4549246244300564,3
714-11956,318.81978667483264,0.12601745544700574,14
715-05169,43.70768477176649,0.43747057123177346,37
801-04308,95.36319822333274,0.33267958888064997,56
801-06625,32.73279093482844,0.2493614616556805,146
801-06640,41.32456506390274,0.19258546511927407,109
801-06775,38893.507542309584,0.8372328414130036,66
801-07118,2.674579418420396,0.16683528543646248,167
801-07119,2.5894704384021954,0.1659437514681167,142
808-12032,1.357027745338063,0.6491155246331115,69
808-75043,1.4335747764779976,0.4469514219365318,51
808-96078,8.15599223995968,1.4088903769363936,19
